task_type,category,mean,std,count,min,max
FindAndOrder,Unknown,35.61,22.32,40,12.05,122.16
Webmall_EndToEnd,Advanced,30.13,19.01,56,6.45,122.16
Webmall_Find_Compatible_Products,Advanced,29.96,17.76,35,4.8,79.28
Webmall_Best_Fit_Vague,Advanced,29.59,15.17,56,5.18,69.93
Webmall_Cheapest_Best_Fit_Specific,Advanced,28.86,20.83,70,3.99,106.78
Webmall_Substitutes,Advanced,28.75,17.53,42,5.62,82.52
Webmall_Cheapest_Best_Fit_Vague,Advanced,27.96,11.91,42,4.84,52.04
Webmall_Best_Fit_Specific,Basic,27.46,14.71,76,4.34,66.65
Substitute,Unknown,27.05,18.54,24,7.51,60.23
Compatible_Products,Unknown,26.37,21.08,20,8.1,79.28
Webmall_Checkout,Basic,26.32,26.58,56,3.57,199.0
Best_Fit_Vague,Advanced,25.36,18.75,32,9.14,69.93
Cheapest_Best_Fit_Vague,Advanced,24.35,14.54,24,7.16,52.04
Webmall_Add_To_Cart,Basic,23.96,11.35,49,5.1,47.36
Best_Fit_Specific,Basic,23.49,17.89,44,6.94,66.65
Add_To_Cart,Basic,22.46,10.74,35,8.86,47.36
Webmall_Single_Product_Search,Basic,22.43,10.75,84,4.33,47.86
Webmall_Cheapest_Product_Search,Basic,22.23,12.7,69,4.02,68.78
Cheapest_Best_Fit_Specific,Advanced,21.28,14.87,40,5.75,56.94
Checkout,Basic,20.72,11.06,40,11.0,60.45
Cheapest_Product,Basic,18.41,12.91,40,5.43,68.78
Specific_Product,Basic,17.15,9.4,60,6.03,47.86
